product_url,name,brand,price_raw,scraped_at,price
https://www.lamoda.kz/p/mp002xm0drt7/shoes-demix-krossovki/,Кроссовки SP TURBO,Demix,13 713 ₸,2025-12-04T12:34:20.624385,13713.0
https://www.lamoda.kz/p/rtlaet137101/clothes-asics-futbolka-sportivnaya/,Футболка спортивная,ASICS,22 100 ₸,2025-12-04T12:34:20.654533,22100.0
https://www.lamoda.kz/p/mp002xm0bc84/clothes-demix-shorty-sportivnye/,Шорты спортивные,Demix,4 697 ₸,2025-12-04T12:34:20.711466,4697.0
https://www.lamoda.kz/p/rtlaej663402/clothes-sonu-futbolka-sportivnaya/,Футболка спортивная,Sonu,10 920 ₸,2025-12-04T12:34:20.727105,10920.0
https://www.lamoda.kz/p/rtladl068804/clothes-nike-bryuki-sportivnye/,Брюки спортивные Challenger Men's Dri-FIT Woven,Nike,63 600 ₸,2025-12-04T12:34:20.772882,63600.0
https://www.lamoda.kz/p/mp002xm1gwo3/clothes-kelme-vetrovka/,Ветровка Rain Jacket,Kelme,25 386 ₸,2025-12-04T12:34:20.821629,25386.0
https://www.lamoda.kz/p/mp002xm0d79h/clothes-demix-bridzhi/,Бриджи,Demix,5 370 ₸,2025-12-04T12:34:20.856621,5370.0
https://www.lamoda.kz/p/mp002xm0bzw3/clothes-baon-zhilet-uteplennyy/,Жилет утепленный,Baon,21 886 ₸,2025-12-04T12:34:20.883772,21886.0
https://www.lamoda.kz/p/rtlaet330601/clothes-nike-bryuki-sportivnye/,Брюки спортивные M NK DF STRIDE WVN PANT,Nike,71 700 ₸,2025-12-04T12:34:20.915036,71700.0
https://www.lamoda.kz/p/rtlaeg560402/shoes-puma-krossovki/,Кроссовки Scend Pro 2,PUMA,38 690 ₸,2025-12-04T12:34:20.973976,38690.0
https://www.lamoda.kz/p/rtlael037901/shoes-reebok-krossovki/,Кроссовки ENERGEN TECH 2,Reebok,36 690 ₸,2025-12-04T12:34:24.742611,36690.0
https://www.lamoda.kz/p/rtlaeq662901/clothes-xbionic-taytsy/,Тайтсы X-BIONIC® XCEED RUN LONG TIGHTS,X-Bionic,66 590 ₸,2025-12-04T12:34:24.773876,66590.0
https://www.lamoda.kz/p/rtlaej661801/clothes-sonu-shorty-sportivnye/,Шорты спортивные,Sonu,21 555 ₸,2025-12-04T12:34:24.802577,21555.0
https://www.lamoda.kz/p/rtladf406902/clothes-reebok-futbolka-sportivnaya/,Футболка спортивная RUNNING SS SPEEDWICK TEE,Reebok,17 590 ₸,2025-12-04T12:34:24.830717,17590.0
